X,Y,cod_punto,prop_poste,iden_punto,cluster,cod_prov,cod_cant,cod_parr,provincia,canton,parroquia,direccion,longitud,latitud,operadora,estado,tipo_servi,tipo_punto,desc_punto,situacion,OLT,ZONA,ELEMENTO_P,Tipo_de_He,icon_url
-80.736924247373,-0.951948968463684,"293",cnel,M01-01_T3D2N15,M1C004,"13","1308","130850",manabi,manta,manta,calle 16 a entre av. 35 y av. 24,529269.834799999953248,9894779.823000000789762,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7369001413515,-0.95203877809393,"294",cnel,M01-01_T3D2N16,M1C004,"13","1308","130850",manabi,manta,manta,calle 16 a entre av. 35 y av. 24,529272.516100000008009,9894769.895999999716878,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7372861453781,-0.952175456519678,"225",cnel,M01-01_T3D2,M1C004,"13","1308","130850",manabi,manta,manta,av. 35 entre calle 17 y calle 12,529229.567799999960698,9894754.791999999433756,conecel,aereo,sai,elemento_pasivo,caja_de_distribucion,n,"1",las acacias,manga distribucion,"0",./1.png
-80.7361517392929,-0.951184448465538,"295",cnel,M01-01_T3D2N02,M1C004,"13","1308","130850",manabi,manta,manta,calle 16 b entre av. 35 y av. 30,529355.791199999977835,9894864.320000000298023,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7368257192797,-0.951607845546831,"296",cnel,M01-01_T3D2N03,M1C004,"13","1308","130850",manabi,manta,manta,calle 16 b entre av. 35 y av. 30,529280.800000000046566,9894817.527000000700355,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7354699670416,-0.951102925974101,"297",cnel,M01-01_T3D2N01,M1C004,"13","1308","130850",manabi,manta,manta,av. 30 entre calle 16b y calle 12,529431.646500000031665,9894873.324999999254942,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7355284846891,-0.951571846432239,"298",cnel,M01-01_T3D3N14,M1C004,"13","1308","130850",manabi,manta,manta,calle 16 a entre av. 35 y av. 24,529425.131799999973737,9894821.494999999180436,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7358610977327,-0.951769146101216,"299",cnel,M01-01_T3D3N15,M1C004,"13","1308","130850",manabi,manta,manta,av. 31 entre calle 16a y calle 12,529388.123299999977462,9894799.689999999478459,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7361355879066,-0.951943660442565,"300",cnel,M01-01_T3D3N13,M1C004,"13","1308","130850",manabi,manta,manta,calle 16 a entre av. 35 y av. 24,529357.581800000043586,9894780.403000000864267,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
-80.7351073302839,-0.95166895360191,"301",cnel,M01-01_T3D3N12,M1C004,"13","1308","130850",manabi,manta,manta,av. 30 entre calle 16b y calle 12,529471.988999999943189,9894810.757999999448657,conecel,aereo,sai,elemento_pasivo,caja_de_dispersion,n,"1",las acacias,nap,"0",./0.png
